year,site,density,latitude,longitude 
2008,a-k-13,0.184,34.01666667,-119.3616667
2008,a-k-14,1.0175,33.46611667,-119.0277833
2008,a-k-15,1.513,33.48753333,-119.0275833
2008,a-k-16,0.8765,33.46441667,-119.0391667
2008,a-k-22,0.0375,33.92303333,-120.1873667
2008,a-k-23,0.134,33.90855,-120.1555
2008,a-k-24,0.0265,33.90036667,-120.1356333
2008,a-k-25,0.0555,33.89233333,-120.1195
2008,a-k-26,0.2725,34.04493333,-119.6014
2008,a-k-27,0.176,34.05223333,-119.5825333
2008,a-k-28,0.156,34.05428333,-119.56685
2008,a-k-29,0.244,34.04415,-119.54245
2008,a-k-30,0.232,34.03836667,-119.5253
2008,a-k-31,0.355,34.01641667,-119.4320167
2008,a-k-32,0.1815,34.0045,-119.3857833
2008,a-k-33,0.3855,34.0126,-119.3891833
2008,a-k-34,0.438,34.0141,-119.3590167
2008,a-k-35,0.0815,33.48003333,-119.0621167
2008,a-k-36,0.025,33.47306667,-119.02685
2008,a-k-37,0.0805,33.46293333,-119.0312667
2008,a-p-56,0.298550725,33.900167,-120.136367
2008,a-p-59,0.235833333,33.90295,-120.099167
2008,a-p-01,0.513194444,34.002883,-119.4252
2008,a-p-03,0.401515152,34.001583,-119.398067
2008,a-p-04,0.277777778,34.017667,-119.363683
2008,a-p-05,0.498611111,34.012783,-119.363133
2008,a-p-06,0.333333333,34.009883,-119.388333
2008,a-p-07,0.825,34.016983,-119.432917
2008,a-p-14,0.030952381,34.4412874,-120.4167926
2008,a-p-19,0.087777778,34.48696,-120.5005234
2008,a-p-22,0.253968254,34.42185,-119.9515
2008,a-p-33,0.469444444,34.044933,-119.6014
2008,a-p-36,0.350793651,34.056583,-119.821167
2008,a-p-38,0.705,34.072867,-119.870983
2008,a-p-39,0.441666667,34.03065,-119.69665
2008,a-p-42,0.459259259,34.048467,-119.546367
2008,a-p-43,0.6625,34.047983,-119.5514
2008,a-p-34,0.325694444,34.051483,-119.909667
2008,a-p-35,0.397222222,33.946467,-119.823183
2008,a-p-37,0.488194444,34.0434,-119.535733
2008,a-p-41,0.450694444,34.038367,-119.5253
2008,a-p-44,0.579365079,33.983617,-119.6384
2008,a-p-45,0.224074074,33.988533,-119.546983
2008,a-p-47,0.264166667,34.015867,-120.3305
2008,a-p-48,0.809722222,34.051717,-120.346183
2008,a-p-50,0.282638889,34.052783,-120.337383
2008,a-p-52,0.137878788,34.025467,-120.4067
2008,a-p-60,0.172222222,33.897433,-120.100383
2008,a-p-64,0.193518519,33.891567,-120.1192
2008,a-p-32,0.591666667,34.054283,-119.566867
2008,a-p-40,0.446376812,34.050983,-119.575883
2008,a-p-57,0.022222222,33.931667,-120.197417
2008,a-p-65,0.107246377,33.90725,-120.153
2008,a-l-01,0.5125,34.400275,-119.7445917
2008,a-l-02,0.39375,34.47181667,-120.1426167
2008,a-l-03,0.177083333,34.46782143,-120.1192428
