site ,location ,data_source ,research_group,sitevar_1,sitevar_2,latitude,longitude,,,,
a-p-47,,,pisco,SMI_CROOK_POINT,E,34.015867,-120.3305,,,,
a-p-47,,,pisco,SMI_CROOK_POINT,W,34.01385,-120.337333,,,,
a-p-48,,,pisco,SMI_CUYLER,E,34.051717,-120.346183,,,,
a-p-48,,,pisco,SMI_CUYLER,W,34.05705,-120.3526,,,,
a-p-49,,,pisco,SMI_HARE_ROCK,CEN,NA,NA,,,,
a-p-50,,,pisco,SMI_HARRIS_PT_RESERVE,E,34.052783,-120.337383,,,,
a-p-50,,,pisco,SMI_HARRIS_PT_RESERVE,W,34.063683,-120.355983,,,,
a-p-51,,,pisco,SMI_PRINCE_ISLAND,CEN,NA,NA,,,,
a-p-51,,,pisco,SMI_PRINCE_ISLAND,N,NA,NA,,,,
a-p-52,,,pisco,SMI_TYLER_BIGHT,E,34.025467,-120.4067,,,,
a-p-52,,,pisco,SMI_TYLER_BIGHT,W,34.027292,-120.411744,,,,
a-p-53,,,pisco,SRI_BEACON_REEF,E,34.037383,-120.038,,,,
a-p-53,,,pisco,SRI_BEACON_REEF,W,34.040667,-120.043233,,,,
a-p-54,,,pisco,SRI_BEE_ROCK,E,33.9478,-120.21055,,,,
a-p-54,,,pisco,SRI_BEE_ROCK,W,33.9539,-120.2119,,,,
a-p-55,,,pisco,SRI_CARRINGTON,CEN,34.0377818,-120.05953,,,,
a-p-55,,,pisco,SRI_CARRINGTON,E,34.0414242,-120.04256,,,,
a-p-55,,,pisco,SRI_CARRINGTON,W,34.0316808,-120.0701,,,,
a-p-56,,,pisco,SRI_CHICKASAW,E,33.900167,-120.136367,,,,
a-p-56,,,pisco,SRI_CHICKASAW,W,33.901117,-120.13975,,,,
a-p-57,,,pisco,SRI_CLUSTER_POINT,N,33.931667,-120.197417,,,,
a-p-57,,,pisco,SRI_CLUSTER_POINT,S,33.923833,-120.192,,,,
a-p-58,,,pisco,SRI_FORD_POINT,CEN,33.9478,-120.2104285,,,,
a-p-59,,,pisco,SRI_JOHNSONS_LEE_NORTH,E,33.90295,-120.099167,,,,
a-p-59,,,pisco,SRI_JOHNSONS_LEE_NORTH,W,33.9009,-120.09915,,,,
a-p-60,,,pisco,SRI_JOHNSONS_LEE_SOUTH,E,33.897433,-120.100383,,,,
a-p-60,,,pisco,SRI_JOHNSONS_LEE_SOUTH,W,33.895133,-120.104317,,,,
a-p-61,,,pisco,SRI_JOLLA_VIEJA,E,33.90683333,-120.06745,,,,
a-p-61,,,pisco,SRI_JOLLA_VIEJA,W,33.90635,-120.0697,,,,
a-p-62,,,pisco,SRI_MONACOS,E,33.98366667,-120.0100833,,,,
a-p-62,,,pisco,SRI_MONACOS,W,33.987967,-120.0117,,,,
a-p-63,,,pisco,SRI_RODES_REEF,E,34.0325,-120.1072,,,,
a-p-63,,,pisco,SRI_RODES_REEF,W,34.0311877,-120.10881,,,,
a-p-64,,,pisco,SRI_SOUTH_POINT,E,33.891567,-120.1192,,,,
a-p-64,,,pisco,SRI_SOUTH_POINT,W,33.894167,-120.124883,,,,
a-p-65,,,pisco,SRI_TRANCION_CANYON,E,33.90725,-120.153,,,,
a-p-65,,,pisco,SRI_TRANCION_CANYON,W,33.91035,-120.159117,,,,
a-p-66,,,pisco,DUNES,CEN,34.7731,-120.65022,,,,
a-p-67,,,pisco,PISMO,W,NA,NA,,,,
a-p-68,,,pisco,VANDENBERG,N,NA,NA,,,,
a-s-01,,,sni,7,NA,33.26233333,-119.5801667,,,,
a-s-02,,,sni,11,NA,33.27325,-119.48615,,,,
a-s-03,,,sni,12,NA,33.24763333,-119.5703833,,,,
a-s-04,,,sni,13,NA,33.21665,-119.4854167,,,,
a-s-05,,,sni,14,NA,33.21688333,-119.4441167,,,,
